spelling,count,suggested_correction,correction_count,edit_distance,looks_polish,locations
moim,1,olim,33,2,False,0005.JPG.parsed.txt:34
alem,1,olim,33,2,False,0064.JPG.parsed.txt:9
Dominis,1,DOMINI,31,1,False,0060.JPG.parsed.txt:14
Leopolienses,2,LEOPOLIENSIS,30,1,False,0005.JPG.parsed.txt:11; 0063.JPG.parsed.txt:31
Tarnopoliensis,1,LEOPOLIENSIS,30,4,False,0007.JPG.parsed.txt:13
Leopoliensibus,1,LEOPOLIENSIS,30,2,False,0053.JPG.parsed.txt:9
albo,2,ANNO,27,2,False,0006.JPG.parsed.txt:11; 0066.JPG.parsed.txt:9
meum,2,suum,27,2,False,0006.JPG.parsed.txt:32; 0061.JPG.parsed.txt:37
trum,1,suum,27,2,False,0006.JPG.parsed.txt:38
phum,1,suum,27,2,False,0054.JPG.parsed.txt:3
annos,2,ANNO,27,1,False,0054.JPG.parsed.txt:29; 0064.JPG.parsed.txt:20
Banni,1,ANNO,27,2,False,0055.JPG.parsed.txt:30
uando,1,ANNO,27,2,False,0057.JPG.parsed.txt:12
sumus,1,suum,27,2,False,0057.JPG.parsed.txt:27
annis,1,ANNO,27,2,False,0060.JPG.parsed.txt:9
ambo,2,ANNO,27,2,False,0060.JPG.parsed.txt:24; 0063.JPG.parsed.txt:6
anni,1,ANNO,27,1,False,0062.JPG.parsed.txt:35
magno,2,ANNO,27,2,False,0063.JPG.parsed.txt:1; 0064.JPG.parsed.txt:31
damno,1,ANNO,27,2,False,0064.JPG.parsed.txt:31
Slno,1,ANNO,27,2,False,0066.JPG.parsed.txt:39
sinum,1,suum,27,2,False,0067.JPG.parsed.txt:16
LIBRI,1,sibi,22,2,False,0004.JPG.parsed.txt:5
swoi,1,sibi,22,2,False,0006.JPG.parsed.txt:1
mihi,1,sibi,22,2,False,0051.JPG.parsed.txt:11
sint,2,sibi,22,2,False,0056.JPG.parsed.txt:12; 0063.JPG.parsed.txt:5
liti,1,sibi,22,2,False,0058.JPG.parsed.txt:16
Scabi,1,sibi,22,2,False,0059.JPG.parsed.txt:3
subsi,1,sibi,22,2,False,0065.JPG.parsed.txt:6
stoi,1,sibi,22,2,False,0066.JPG.parsed.txt:35
Szpi,1,sibi,22,2,True,0069.JPG.parsed.txt:14
famatis,2,Famati,20,1,False,0049.JPG.parsed.txt:22; 0059.JPG.parsed.txt:13
Famato,2,Famati,20,1,False,0050.JPG.parsed.txt:22; 0050.JPG.parsed.txt:26
Famuli,2,Famati,20,2,False,0052.JPG.parsed.txt:35; 0066.JPG.parsed.txt:25
factum,1,Actum,20,1,False,0060.JPG.parsed.txt:39
dictum,2,Actum,20,2,False,0062.JPG.parsed.txt:20; 0063.JPG.parsed.txt:19
Civi,2,Civis,19,1,False,0049.JPG.parsed.txt:2; 0050.JPG.parsed.txt:22
Civili,1,Civis,19,2,False,0051.JPG.parsed.txt:24
Civita,1,Civis,19,2,False,0052.JPG.parsed.txt:35
Civium,1,Civis,19,2,False,0054.JPG.parsed.txt:29
pala,2,palam,19,1,False,0056.JPG.parsed.txt:33; 0065.JPG.parsed.txt:10
Civilis,1,Civis,19,2,False,0057.JPG.parsed.txt:22
privis,1,Civis,19,2,False,0060.JPG.parsed.txt:3
quivis,1,Civis,19,2,False,0060.JPG.parsed.txt:27
cinis,1,Civis,19,1,False,0067.JPG.parsed.txt:13
Officioze,1,OFFICIO,17,2,False,0066.JPG.parsed.txt:27
officiose,1,OFFICIO,17,2,False,0067.JPG.parsed.txt:32
neficio,1,OFFICIO,17,2,False,0068.JPG.parsed.txt:18
eisdem,1,eidem,16,1,False,0007.JPG.parsed.txt:29
ferentorum,1,florenorum,16,3,False,0053.JPG.parsed.txt:11
wtey,1,item,15,2,False,0006.JPG.parsed.txt:2
wtym,2,item,15,2,False,0006.JPG.parsed.txt:5; 0006.JPG.parsed.txt:6
