spelling,count,looks_polish,locations
ADVOCATIALIS,2,False,0004.JPG.parsed.txt:2; 0060.JPG.parsed.txt:44
Aaron,1,False,0065.JPG.parsed.txt:38
Aarone,1,False,0065.JPG.parsed.txt:12
Abiskowic,1,False,0056.JPG.parsed.txt:22
Abrekowa,1,False,0064.JPG.parsed.txt:17
Abretowej,1,False,0064.JPG.parsed.txt:15
Abrico,1,False,0054.JPG.parsed.txt:27
Abrikowic,1,False,0054.JPG.parsed.txt:25
Accessit,1,False,0059.JPG.parsed.txt:12
Acolutis,1,False,0059.JPG.parsed.txt:34
Actori,1,False,0054.JPG.parsed.txt:11
Adierunt,1,False,0005.JPG.parsed.txt:20
Admisimus,1,False,0051.JPG.parsed.txt:11
Adventum,1,False,0068.JPG.parsed.txt:14
Ambrosij,1,False,0007.JPG.parsed.txt:21
Anastasiam,1,False,0050.JPG.parsed.txt:9
Anserini,1,False,0052.JPG.parsed.txt:17
Anserino,1,False,0003.JPG.parsed.txt:12
Anserinum,1,False,0052.JPG.parsed.txt:33
Anserinus,1,False,0067.JPG.parsed.txt:25
Apostoli,1,False,0055.JPG.parsed.txt:1
Aprilis,1,False,0062.JPG.parsed.txt:2
Assumptionis,2,False,0049.JPG.parsed.txt:10; 0056.JPG.parsed.txt:14
Augusti,2,False,0065.JPG.parsed.txt:6; 0065.JPG.parsed.txt:21
Awierka,1,False,0065.JPG.parsed.txt:25
Babiczowska,1,True,0049.JPG.parsed.txt:19
Balcerko,1,False,0005.JPG.parsed.txt:14
Balcerowit,1,False,0005.JPG.parsed.txt:26
Balcertowic,1,False,0005.JPG.parsed.txt:5
Bannito,1,False,0058.JPG.parsed.txt:29
Baptisti,1,False,0053.JPG.parsed.txt:10
Barbarae,2,False,0052.JPG.parsed.txt:28; 0052.JPG.parsed.txt:34
Bartholomaeo,1,False,0050.JPG.parsed.txt:22
Bartholomeo,1,False,0050.JPG.parsed.txt:26
Bartholomeum,1,False,0006.JPG.parsed.txt:31
Bartholomeus,2,False,0005.JPG.parsed.txt:10; 0006.JPG.parsed.txt:17
Bartolsztolcz,1,True,0051.JPG.parsed.txt:1
Bednarz,1,True,0005.JPG.parsed.txt:26
Berłada,1,True,0065.JPG.parsed.txt:27
Bierłada,1,True,0065.JPG.parsed.txt:25
Bigos,1,False,0055.JPG.parsed.txt:5
Borkowic,1,False,0067.JPG.parsed.txt:8
Buczat,1,True,0056.JPG.parsed.txt:38
Buczek,1,True,0063.JPG.parsed.txt:30
CONSVLA,1,False,0003.JPG.parsed.txt:2
CONSVLIBVS,1,False,0003.JPG.parsed.txt:6
Caelum,2,False,0049.JPG.parsed.txt:10; 0056.JPG.parsed.txt:14
Caeterum,1,False,0055.JPG.parsed.txt:24
Calvariae,1,False,0050.JPG.parsed.txt:31
Capitaneo,2,False,0057.JPG.parsed.txt:1; 0057.JPG.parsed.txt:6
Capitu,1,False,0062.JPG.parsed.txt:17
Carnarzle,1,True,0006.JPG.parsed.txt:36
Casparo,2,False,0003.JPG.parsed.txt:13; 0003.JPG.parsed.txt:14
Catharinae,2,False,0050.JPG.parsed.txt:24; 0062.JPG.parsed.txt:25
Catheri,1,False,0058.JPG.parsed.txt:13
Catherina,1,False,0067.JPG.parsed.txt:14
Catherinae,1,False,0058.JPG.parsed.txt:9
Cessio,1,False,0058.JPG.parsed.txt:6
Chelmensis,1,False,0062.JPG.parsed.txt:7
Chełm,1,True,0062.JPG.parsed.txt:11
Ciosłozimi,1,True,0069.JPG.parsed.txt:15
Circumcisionis,2,False,0005.JPG.parsed.txt:2; 0007.JPG.parsed.txt:19
Coemiterium,1,False,0059.JPG.parsed.txt:29
Confessarij,1,False,0061.JPG.parsed.txt:35
Confratre,1,False,0062.JPG.parsed.txt:30
Consu,1,False,0057.JPG.parsed.txt:36
Consul,1,False,0063.JPG.parsed.txt:28
Conuentu,1,False,0061.JPG.parsed.txt:27
Craco,1,False,0058.JPG.parsed.txt:28
Cracouiae,1,False,0058.JPG.parsed.txt:29
Cracoviensem,1,False,0054.JPG.parsed.txt:1
Cracoviensi,2,False,0050.JPG.parsed.txt:22; 0058.JPG.parsed.txt:13
Cracoviensis,2,False,0052.JPG.parsed.txt:2; 0058.JPG.parsed.txt:16
Crucis,1,False,0063.JPG.parsed.txt:31
Custodis,1,False,0061.JPG.parsed.txt:33
Custos,1,False,0064.JPG.parsed.txt:4
Custosie,1,False,0064.JPG.parsed.txt:11
Cyragraf,1,False,0065.JPG.parsed.txt:30
Czasłoia,1,True,0066.JPG.parsed.txt:17
Czerwonogro,1,True,0056.JPG.parsed.txt:38
Dambrowski,2,False,0066.JPG.parsed.txt:24; 0066.JPG.parsed.txt:30
Decano,1,False,0054.JPG.parsed.txt:34
Decidit,1,False,0056.JPG.parsed.txt:26
Decreto,2,False,0006.JPG.parsed.txt:37; 0049.JPG.parsed.txt:30
Decretum,2,False,0053.JPG.parsed.txt:36; 0054.JPG.parsed.txt:13
Denique,1,False,0050.JPG.parsed.txt:7
Diboviciam,1,False,0057.JPG.parsed.txt:15
Dibovicius,1,False,0057.JPG.parsed.txt:36
Divisio,1,False,0068.JPG.parsed.txt:26
Dobrzenie,1,True,0069.JPG.parsed.txt:14
Doctor,1,False,0057.JPG.parsed.txt:36
Doctore,1,False,0003.JPG.parsed.txt:12
