spelling,count,looks_polish,locations
ABREKOWA,1,False,example.txt:2177
ALSYKOWIC,1,False,example.txt:44235
AUCTANS,1,False,example.txt:47564
AWEDULI,1,False,example.txt:42667
Abanaru,2,False,example.txt:8392; example.txt:8397
Abdelka,1,False,example.txt:52372
Abdicans,1,False,example.txt:18842
Abermanowoska,1,False,example.txt:14322
Abnieszowska,1,True,example.txt:47728
Abreuiationem,1,False,example.txt:35430
Abrkowic,2,False,example.txt:1863; example.txt:1872
Abrkowu,1,False,example.txt:1825
Academiae,1,False,example.txt:40306
Accesor,1,False,example.txt:37955
Accisorem,1,False,example.txt:27790
Acedich,1,False,example.txt:51012
Achsinger,1,False,example.txt:36183
Acioxesi,1,False,example.txt:25168
Actoreque,1,False,example.txt:25218
ActumAuocatio,1,False,example.txt:33760
ActumIlko,1,False,example.txt:27546
Adamansuit,1,False,example.txt:47133
Adamaskiem,1,False,example.txt:40718
Adamaskowa,1,False,example.txt:40724
Adamaszek,1,True,example.txt:15269
Adamaszkowego,1,True,example.txt:5188
Adamowic,2,False,example.txt:44825; example.txt:44825
Addititia,1,False,example.txt:6306
Adelcsionis,2,False,example.txt:2050; example.txt:2051
Adelesior,1,False,example.txt:2060
Adisilonius,1,False,example.txt:10114
Adnotatia,1,False,example.txt:17574
Adriano,2,False,example.txt:48283; example.txt:48292
Adrinopolu,2,False,example.txt:52868; example.txt:52869
AdvocatiFideiussorem,1,False,example.txt:3121
Adwersarzowi,1,True,example.txt:2778
Aerarij,1,False,example.txt:35857
Aerolaus,1,False,example.txt:19937
Agatha,1,False,example.txt:9667
Agelasto,1,False,example.txt:14110
Agneszką,1,True,example.txt:26446
Agnethiey,1,False,example.txt:5730
Agnieszka,2,True,example.txt:25459; example.txt:48536
Agnieszki,1,True,example.txt:6329
Aichingier,1,False,example.txt:36209
Aichsingiera,1,False,example.txt:36185
Aichsingierowskim,1,False,example.txt:36189
Albiastiego,1,False,example.txt:13326
Albrech,1,False,example.txt:35373
Albrichtowic,2,False,example.txt:40317; example.txt:40323
Albrycht,1,False,example.txt:44991
Albrychtowic,1,False,example.txt:44992
Alditoris,1,False,example.txt:52242
Alebtarii,1,False,example.txt:43614
Alembeg,2,False,example.txt:19634; example.txt:19676
Alembege,2,False,example.txt:19649; example.txt:19652
Alembekow,2,False,example.txt:19626; example.txt:19639
Alemdliowic,1,False,example.txt:43001
Alexame,1,False,example.txt:24217
Alexandrowicz,2,True,example.txt:19016; example.txt:19023
Alexinszkaina,1,True,example.txt:18885
Alexista,1,False,example.txt:13102
Alexowa,1,False,example.txt:26169
Alexsiae,1,False,example.txt:3497
Alexullu,1,False,example.txt:13324
